rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
131,W621802320,암로비스정(암로디핀베실산염)((주)한국파비스제약)-1정,454089.5,0.0,0.0012293139094741506,0.5189388218554184,A,
132,WA00801741,휴텍스파모티딘정10mg(한국휴텍스제약)-1정,449210.5,0.0,0.0012161054504273672,0.5201549273058458,A,
133,WMD0326399,고려은단비타민씨,447410.5,0.0,0.0012112324792684802,0.5213661597851142,A,
134,WMD0317950,베스타제당의정(동아제약) - 1정,443497.0,0.0,0.0012006378278071998,0.5225667976129215,A,
135,W642101071,알마겔에프현탁액(알마게이트)((주)유한양행)-15mL/포,443104.0,0.0,0.0011995738957708427,0.5237663715086923,A,
136,WA02002381,릴렉시아정(클로르페네신카르바메이트)_(0.125g/1정),440321.5,0.0,0.001192041094521063,0.5249584126032134,A,
137,W693202110,뉴아딘정(암로디핀베실산염)_(6.944mg/1정)((주)한국글로벌제약)-1정,438640.5,0.0,0.0011874902808999023,0.5261459028841133,A,
138,W648603070,유티린정60mg(애엽95%에탄올연조엑스(20→1))((주)씨엠지제약)-1정,436343.0,0.0,0.0011812704746568229,0.5273271733587701,A,
139,WA23054671,레티라진정(위더스제약)-1정,430210.5,0.0,0.0011646685326391142,0.5284918418914092,A,
140,WA10901231,케토크린플라스타(케토프로펜)_10X7㎠(신신제약(주))-1매,427369.2,0.0,0.001156976547664811,0.529648818439074,A,
141,W646201950,테라젠정2mg(염산테라조신)((주)뉴젠팜)-1정,421735.0,0.0,0.0011417236064962546,0.5307905420455702,A,
142,W661904100,노바크정5밀리그램(암로디핀베실산염)-1정,420532.0,0.0,0.0011384668374383982,0.5319290088830085,A,
143,W647601750,경남비타민씨정(1031g/1정)(경남제약(주))-1정,418884.5,0.0,0.0011340067152249167,0.5330630155982334,A,
144,W625200500,바사탄정80밀리그램(발사르탄)_(80mg/1정)((주)화이트생명과학)-1정,417564.0,0.0,0.0011304318494386332,0.534193447447672,A,
145,W644802781,파티겔현탁액(알마게이트)(수출명:알마게인현탁액호메젤현탁액)(태극제약(주))-15mL/포,417197.0,0.0,0.00112943830476346,0.5353228857524355,A,
146,WA30650041,현대테놀민정25mg(현대약품공업)-1정,415479.0,0.0,0.0011247873245129223,0.5364476730769484,A,
147,W646203620,노바젠정5밀리그램(암로디핀베실산염)((주)뉴젠팜)-1정,414140.5,0.0,0.0011211637290150498,0.5375688368059635,A,
148,W653501280,트윈스타정80/5밀리그램_(1정)(한국베링거인겔하임(주))-1정,412750.0,0.0,0.0011173993587948097,0.5386862361647583,A,
